,ano processamento,ro,ac,am,pa,ap,to,ma,pi,ce,pb,pe,al,se,ba,mg,es,rj,sp,pr,sc,rs,ms,mt,go,df
0,1998-01-01,0,3,7,1,2,0,1,0,1,0,0,0,0,23,10,0,0,3,1,2,0,0,0,1,1
1,1999-01-01,1,1,2,7,2,1,0,1,0,1,0,0,1,9,4,0,0,3,1,0,2,0,0,1,0
2,2000-01-01,0,0,1,3,0,2,1,1,0,0,0,0,0,3,3,0,1,8,0,2,0,0,5,4,8
3,2001-01-01,0,1,0,0,0,1,3,1,0,1,0,0,2,7,18,2,1,6,0,2,2,0,0,0,1
4,2002-01-01,0,1,1,1,0,1,0,0,0,0,0,0,0,2,4,1,6,1,1,2,1,0,1,0,1
5,2003-01-01,0,0,1,1,1,2,1,0,0,1,0,1,0,5,60,0,2,1,0,0,0,0,1,2,0
6,2004-01-01,0,0,0,2,0,0,0,0,1,0,2,0,0,2,3,0,0,1,2,0,0,0,2,0,0
7,2005-01-01,1,0,0,2,0,0,0,1,0,1,0,0,0,3,1,1,0,6,1,0,1,1,0,1,1
8,2006-01-01,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,1,4,2,0,0,0,0,1,0
9,2007-01-01,0,0,0,1,0,0,4,0,0,0,0,0,0,2,1,2,1,1,0,1,0,0,0,3,0
